from,to,fromModule,toModule,Distance
POPURBAN,DRUGUSEOPIATES,Demography,Demography,2
druguseprescriptopioidm,DRUGUSEPRESCRIPTOPIOID,Other,Demography,0
drugusepolyindex,DRUGUSEPRESCRIPTOPIOID,Other,Demography,0
DRUGUSEAMPHETAMINE,DRUGUSEPRESCRIPTOPIOID,Demography,Demography,11
DRUGUSECOCAINE,DRUGUSEPRESCRIPTOPIOID,Demography,Demography,11
DRUGUSEOPIATES,DRUGUSEPRESCRIPTOPIOID,Demography,Demography,11
drugglobalconv,DRUGUSEPRESCRIPTOPIOID,Other,Demography,8
YTHBULGE,DRUGUSEPRESCRIPTOPIOID,Demography,Demography,10
C,DRUGUSEPRESCRIPTOPIOID,Economy,Demography,26
POP,DRUGUSEPRESCRIPTOPIOID,Demography,Demography,26
GDS,DRUGUSEPRESCRIPTOPIOID,Sociopolitical,Demography,2
HLEXPENDPRIV,DRUGUSEPRESCRIPTOPIOID,Other,Demography,2
GDP,DRUGUSEPRESCRIPTOPIOID,Economy,Demography,2
econfreem,ECONFREE,Sociopolitical,Sociopolitical,0
SFINTLWARALL,ECONFREE,Sociopolitical,Sociopolitical,173
confforsw,ECONFREE,Sociopolitical,Sociopolitical,173
GDPPCP,ECONFREE,Economy,Sociopolitical,174
DEMOCPOLITY,ECONFREE,Sociopolitical,Sociopolitical,174
ENX,ECONFREE,Energy,Sociopolitical,194
ENPRI,ECONFREE,Energy,Sociopolitical,194
GDP,ECONFREE,Economy,Sociopolitical,194
XRPA,ECONINTEG,Economy,Environment,5
MRPA,ECONINTEG,Economy,Environment,5
GDPPOT,ECONINTEG,Other,Environment,5
XFDISTOCK,ECONINTEG,Economy,Environment,1
XFDISTOUT,ECONINTEG,Economy,Environment,1
WGDP,ECONINTEG,Economy,Environment,950
X,ECONINTEG,Economy,Environment,954
M,ECONINTEG,Economy,Environment,953
GDP,ECONINTEG,Economy,Environment,6
edpristart,EDBASENRG,Education,Education,4
edprilen,EDBASENRG,Education,Education,4
edseclowrlen,EDBASENRG,Education,Education,8
POP,EDBASENRG,Demography,Education,2033
EDSECLOWRENRG,EDBASENRG,Education,Education,0
EDPRIENRG,EDBASENRG,Education,Education,0
edexperprim,EDEXPERPRI,Education,Education,0
EDPRIPTR,EDEXPERPRI,Education,Education,0
edpricostadjrural,EDEXPERPRI,Education,Education,0
POPURBAN,EDEXPERPRI,Demography,Education,2
POP,EDEXPERPRI,Demography,Education,2
edexppconv,EDEXPERPRI,Education,Education,0
GDPPCP,EDEXPERPRI,Economy,Education,1
edprigoalexper,EDEXPERPRI,Education,Education,0
GDPPC,EDEXPERPRI,Economy,Education,8
EDPRITOT,EDEXPERPRI,Education,Education,8
EDEXPERTER,EDEXPERPRI,Education,Education,5
EDTERTOT,EDEXPERPRI,Education,Education,5
GDS,EDEXPERPRI,Sociopolitical,Education,10
EDEXPERSECLOWR,EDEXPERPRI,Education,Education,7
EDSECLOWRTOT,EDEXPERPRI,Education,Education,7
EDEXPERSECUPPR,EDEXPERPRI,Education,Education,6
EDSECUPPRTOT,EDEXPERPRI,Education,Education,6
GDSED,EDEXPERPRI,Sociopolitical,Education,1
EDSECTOT,EDEXPERSEC,Education,Education,0
GDPPC,EDEXPERSEC,Economy,Education,0
EDEXPERSECLOWR,EDEXPERSEC,Education,Education,5
EDSECLOWRTOT,EDEXPERSEC,Education,Education,5
EDEXPERSECUPPR,EDEXPERSEC,Education,Education,4
EDSECUPPRTOT,EDEXPERSEC,Education,Education,4
edexperseclowrm,EDEXPERSECLOWR,Education,Education,0
edexpslconv,EDEXPERSECLOWR,Education,Education,0
GDPPCP,EDEXPERSECLOWR,Economy,Education,1
EDEXPERPRI,EDEXPERSECLOWR,Education,Education,9
GDPPC,EDEXPERSECLOWR,Economy,Education,9
EDPRITOT,EDEXPERSECLOWR,Education,Education,9
EDEXPERTER,EDEXPERSECLOWR,Education,Education,6
EDTERTOT,EDEXPERSECLOWR,Education,Education,6
GDS,EDEXPERSECLOWR,Sociopolitical,Education,11
EDSECLOWRTOT,EDEXPERSECLOWR,Education,Education,8
EDEXPERSECUPPR,EDEXPERSECLOWR,Education,Education,7
EDSECUPPRTOT,EDEXPERSECLOWR,Education,Education,7
edexpersecupprm,EDEXPERSECUPPR,Education,Education,0
edexpsuconv,EDEXPERSECUPPR,Education,Education,0
GDPPCP,EDEXPERSECUPPR,Economy,Education,10
I,EDEXPERSECUPPR,Economy,Education,1298
DEATHS,EDEXPERSECUPPR,Demography,Education,1298
POP,EDEXPERSECUPPR,Demography,Education,1298
igdpr,EDEXPERSECUPPR,Economy,Education,5
migrateinm,EDEXPERSECUPPR,Demography,Education,1364
migratebalancesw,EDEXPERSECUPPR,Economy,Education,1326
contiguity,EDEXPERSECUPPR,Interstate,Education,1394
migrateoutm,EDEXPERSECUPPR,Demography,Education,1365
MIGRANTS,EDEXPERSECUPPR,Demography,Education,1338
POP15TO65,EDEXPERSECUPPR,Demography,Education,1338
POPFOREIGNIN,EDEXPERSECUPPR,Demography,Education,1338
EDEXPERPRI,EDEXPERSECUPPR,Education,Education,10
GDPPC,EDEXPERSECUPPR,Economy,Education,10
EDPRITOT,EDEXPERSECUPPR,Education,Education,10
EDEXPERTER,EDEXPERSECUPPR,Education,Education,7
EDTERTOT,EDEXPERSECUPPR,Education,Education,7
GDS,EDEXPERSECUPPR,Sociopolitical,Education,12
EDEXPERSECLOWR,EDEXPERSECUPPR,Education,Education,9
EDSECLOWRTOT,EDEXPERSECUPPR,Education,Education,9
EDSECUPPRTOT,EDEXPERSECUPPR,Education,Education,8
edexperterm,EDEXPERTER,Education,Education,0
edexptconv,EDEXPERTER,Education,Education,0
I,EDEXPERTER,Economy,Education,1308
DEATHS,EDEXPERTER,Demography,Education,1308
POP,EDEXPERTER,Demography,Education,1308
GDPPCP,EDEXPERTER,Economy,Education,20
igdpr,EDEXPERTER,Economy,Education,6
migrateinm,EDEXPERTER,Demography,Education,1374
migratebalancesw,EDEXPERTER,Economy,Education,1336
contiguity,EDEXPERTER,Interstate,Education,1404
migrateoutm,EDEXPERTER,Demography,Education,1375
EDEXPERPRI,EDEXPERTER,Education,Education,11
GDPPC,EDEXPERTER,Economy,Education,11
EDPRITOT,EDEXPERTER,Education,Education,11
EDTERTOT,EDEXPERTER,Education,Education,8
GDS,EDEXPERTER,Sociopolitical,Education,13
EDEXPERSECLOWR,EDEXPERTER,Education,Education,10
EDSECLOWRTOT,EDEXPERTER,Education,Education,10
EDEXPERSECUPPR,EDEXPERTER,Education,Education,9
EDSECUPPRTOT,EDEXPERTER,Education,Education,9
POP,EDPRICR,Demography,Education,0
edpristart,EDPRICR,Education,Education,0
edprilen,EDPRICR,Education,Education,0
EDPRIINT,EDPRICR,Education,Education,3
edpristart,EDPRIENRG,Education,Education,2
edprilen,EDPRIENRG,Education,Education,2
POP,EDPRIENRG,Demography,Education,1175
EDPRITOT,EDPRIENRG,Education,Education,1
edpristart,EDPRIENRN,Education,Education,5
edprilen,EDPRIENRN,Education,Education,5
POP,EDPRIENRN,Demography,Education,1178
EDPRIINTN,EDPRIENRN,Education,Education,2
EDPRISUR,EDPRIENRN,Education,Education,11
edprigoalexperon,edprigoalexper,Education,Education,0
EDEXPERPRI,edprigoalexper,Education,Education,219
POP,EDPRIGRADS,Demography,Education,0
edpristart,EDPRIGRADS,Education,Education,0
edprilen,EDPRIGRADS,Education,Education,0
EDPRICR,EDPRIGRADS,Education,Education,0
POP,EDPRIINT,Demography,Education,0
edpristart,EDPRIINT,Education,Education,0
edqtqltrm,EDPRIINT,Education,Education,0
EDPRIINTN,EDPRIINT,Education,Education,0
POP,EDPRIINTN,Demography,Education,0
edpristart,EDPRIINTN,Education,Education,0
edqtqltrm,EDPRIINTN,Education,Education,0
GDS,EDPRIINTN,Sociopolitical,Education,505
GDSED,EDPRIINTN,Sociopolitical,Education,505
EDEXPERTER,EDPRIINTN,Education,Education,506
GDPPC,EDPRIINTN,Economy,Education,506
EDTERTOT,EDPRIINTN,Education,Education,506
EDPRITOT,EDPRIINTN,Education,Education,553
EDEXPERPRI,EDPRIINTN,Education,Education,557
EDSECLOWRTOT,EDPRIINTN,Education,Education,552
EDSECUPPRTOT,EDPRIINTN,Education,Education,551
EDEXPERSECLOWR,EDPRIINTN,Education,Education,556
EDEXPERSECUPPR,EDPRIINTN,Education,Education,555
edpriintnm,EDPRIINTN,Other,Education,0
EDTERINT,EDPRIINTN,Education,Education,171
EDSECUPPRTRAN,EDPRIINTN,Education,Education,221
edpriintngr,EDPRIINTN,Education,Education,0
edpriintntrgtyr,EDPRIINTN,Other,Education,0
GDPPCP,EDPRIINTN,Economy,Education,2
POP,EDPRIPER,Demography,Education,0
EDPRICR,EDPRIPER,Education,Education,2
POP,EDPRIPER15TO24,Demography,Education,0
EDPRICR,EDPRIPER15TO24,Education,Education,4
EDPRIINT,EDPRISUR,Education,Education,0
POP,EDPRISUR,Demography,Education,0
edpristart,EDPRISUR,Education,Education,0
edqtqltrm,EDPRISUR,Education,Education,0
GDS,EDPRISUR,Sociopolitical,Education,513
GDSED,EDPRISUR,Sociopolitical,Education,513
EDEXPERTER,EDPRISUR,Education,Education,514
GDPPC,EDPRISUR,Economy,Education,514
EDTERTOT,EDPRISUR,Education,Education,514
EDPRITOT,EDPRISUR,Education,Education,561
EDEXPERPRI,EDPRISUR,Education,Education,565
EDSECLOWRTOT,EDPRISUR,Education,Education,560
EDSECUPPRTOT,EDPRISUR,Education,Education,559
EDEXPERSECLOWR,EDPRISUR,Education,Education,564
EDEXPERSECUPPR,EDPRISUR,Education,Education,563
edprisurm,EDPRISUR,Other,Education,0
edprisurtrgtyr,EDPRISUR,Other,Education,0
edprisurgr,EDPRISUR,Education,Education,0
EDTERGRATE,EDPRISUR,Education,Education,166
EDSECUPPRGRATE,EDPRISUR,Education,Education,216
GDPPCP,EDPRISUR,Economy,Education,9
EDPRIENRG,EDPRITOT,Education,Education,0
POP,EDPRITOT,Demography,Education,0
edpristart,EDPRITOT,Education,Education,0
EDPRIINT,EDPRITOT,Education,Education,1
EDQUALAG15PRI,EDQUALAG15,Education,Education,0
EDQUALAG15SEC,EDQUALAG15,Education,Education,0
edqualag15m,EDQUALAG15,Education,Education,0
POP,EDQUALAG15PRI,Demography,Education,8
EDQUALPRIALL,EDQUALAG15PRI,Education,Education,7
POP,EDQUALAG15SEC,Demography,Education,9
EDQUALSECALL,EDQUALAG15SEC,Education,Education,7
EDQUALPRIMATH,EDQUALPRIALL,Education,Education,0
EDQUALPRISCI,EDQUALPRIALL,Education,Education,0
EDQUALPRIREAD,EDQUALPRIALL,Education,Education,0
edqualprispndimp,EDQUALPRIALL,Education,Education,6
edqualprispndimpthreshold,EDQUALPRIALL,Education,Education,9
edqualprispndimpthresholdval,EDQUALPRIALL,Education,Education,9
EDEXPERPRI,EDQUALPRIALL,Education,Education,9
GDPPCP,EDQUALPRIALL,Economy,Education,14
edqualprimathm,EDQUALPRIMATH,Education,Education,0
GDPPCP,EDQUALPRIMATH,Economy,Education,4
EDQUALPRIALL,EDQUALPRIMATH,Education,Education,0
edqualpriallm,edqualprimathm,Education,Education,0
edqualprireadm,EDQUALPRIREAD,Education,Education,0
GDPPCP,EDQUALPRIREAD,Economy,Education,4
EDQUALPRIALL,EDQUALPRIREAD,Education,Education,0
edqualpriallm,edqualprireadm,Education,Education,0
edqualpriscim,EDQUALPRISCI,Education,Education,0
GDPPCP,EDQUALPRISCI,Economy,Education,4
EDQUALPRIALL,EDQUALPRISCI,Education,Education,0
edqualpriallm,edqualpriscim,Education,Education,0
EDQUALSECMATH,EDQUALSECALL,Education,Education,0
EDQUALSECSCI,EDQUALSECALL,Education,Education,0
EDQUALSECREAD,EDQUALSECALL,Education,Education,0
edqualsecspndimp,EDQUALSECALL,Education,Education,6
edqualsecspndimpthreshold,EDQUALSECALL,Education,Education,9
edqualsecspndimpthresholdval,EDQUALSECALL,Education,Education,9
EDEXPERSEC,EDQUALSECALL,Education,Education,9
GDPPCP,EDQUALSECALL,Economy,Education,14
edqualsecmathm,EDQUALSECMATH,Education,Education,0
GDPPCP,EDQUALSECMATH,Economy,Education,4
EDQUALSECALL,EDQUALSECMATH,Education,Education,0
edqualsecallm,edqualsecmathm,Education,Education,0
edqualsecreadm,EDQUALSECREAD,Education,Education,0
GDPPCP,EDQUALSECREAD,Economy,Education,4
EDQUALSECALL,EDQUALSECREAD,Education,Education,0
edqualsecallm,edqualsecreadm,Education,Education,0
edqualsecscim,EDQUALSECSCI,Education,Education,0
GDPPCP,EDQUALSECSCI,Economy,Education,4
EDQUALSECALL,EDQUALSECSCI,Education,Education,0
edqualsecallm,edqualsecscim,Education,Education,0
POP,EDSECENRG,Demography,Education,2054
edpristart,EDSECENRG,Education,Education,1319
edprilen,EDSECENRG,Education,Education,1319
edseclowrlen,EDSECENRG,Education,Education,4
edsecupprlen,EDSECENRG,Education,Education,4
EDSECTOT,EDSECENRG,Education,Education,1
POP,EDSECENRN,Demography,Education,2053
edpristart,EDSECENRN,Education,Education,1318
edprilen,EDSECENRN,Education,Education,1318
edseclowrlen,EDSECENRN,Education,Education,3
edsecupprlen,EDSECENRN,Education,Education,3
EDSECENRG,EDSECENRN,Education,Education,0
edseclowrlen,EDSECLOWRENRG,Education,Education,2
POP,EDSECLOWRENRG,Demography,Education,2027
edpristart,EDSECLOWRENRG,Education,Education,8
edprilen,EDSECLOWRENRG,Education,Education,8
EDSECLOWRTOT,EDSECLOWRENRG,Education,Education,1
POP,EDSECLOWRGRADS,Demography,Education,0
edseclowrlen,EDSECLOWRGRADS,Education,Education,0
EDSECLOWRGRATE,EDSECLOWRGRADS,Education,Education,0
POP,EDSECLOWRGRATE,Demography,Education,2
edseclowrlen,EDSECLOWRGRATE,Education,Education,2
edpristart,EDSECLOWRGRATE,Education,Education,17
edprilen,EDSECLOWRGRATE,Education,Education,17
edqtqltrm,EDSECLOWRGRATE,Education,Education,0
GDS,EDSECLOWRGRATE,Sociopolitical,Education,260
GDSED,EDSECLOWRGRATE,Sociopolitical,Education,260
EDEXPERTER,EDSECLOWRGRATE,Education,Education,261
GDPPC,EDSECLOWRGRATE,Economy,Education,261
EDTERTOT,EDSECLOWRGRATE,Education,Education,261
EDPRITOT,EDSECLOWRGRATE,Education,Education,308
EDEXPERPRI,EDSECLOWRGRATE,Education,Education,312
EDSECLOWRTOT,EDSECLOWRGRATE,Education,Education,307
EDSECUPPRTOT,EDSECLOWRGRATE,Education,Education,306
EDEXPERSECLOWR,EDSECLOWRGRATE,Education,Education,311
EDEXPERSECUPPR,EDSECLOWRGRATE,Education,Education,310
edseclowrgram,EDSECLOWRGRATE,Other,Education,0
edseclowrgradgr,EDSECLOWRGRATE,Education,Education,0
edseclowrgratrgtyr,EDSECLOWRGRATE,Other,Education,0
EDPRICR,EDSECLOWRGRATE,Education,Education,1
EDSECLOWRTRAN,EDSECLOWRGRATE,Education,Education,1
GDPPCP,EDSECLOWRGRATE,Economy,Education,2
POP,EDSECLOWRTOT,Demography,Education,0
EDSECLOWRENRG,EDSECLOWRTOT,Education,Education,0
POP,EDSECLOWRTRAN,Demography,Education,0
edpristart,EDSECLOWRTRAN,Education,Education,3
edprilen,EDSECLOWRTRAN,Education,Education,3
edqtqltrm,EDSECLOWRTRAN,Education,Education,0
GDS,EDSECLOWRTRAN,Sociopolitical,Education,254
GDSED,EDSECLOWRTRAN,Sociopolitical,Education,254
EDEXPERTER,EDSECLOWRTRAN,Education,Education,255
GDPPC,EDSECLOWRTRAN,Economy,Education,255
EDTERTOT,EDSECLOWRTRAN,Education,Education,255
EDPRITOT,EDSECLOWRTRAN,Education,Education,302
EDEXPERPRI,EDSECLOWRTRAN,Education,Education,306
EDSECLOWRTOT,EDSECLOWRTRAN,Education,Education,301
EDSECUPPRTOT,EDSECLOWRTRAN,Education,Education,300
EDEXPERSECLOWR,EDSECLOWRTRAN,Education,Education,305
EDEXPERSECUPPR,EDSECLOWRTRAN,Education,Education,304
edseclowrtranm,EDSECLOWRTRAN,Other,Education,0
edseclowrtrangr,EDSECLOWRTRAN,Education,Education,0
edseclowrtrantrgtyr,EDSECLOWRTRAN,Other,Education,0
GDPPCP,EDSECLOWRTRAN,Economy,Education,17
edseclowrlen,EDSECLOWRVOC,Education,Education,3
POP,EDSECLOWRVOC,Demography,Education,2028
edpristart,EDSECLOWRVOC,Education,Education,9
edprilen,EDSECLOWRVOC,Education,Education,9
edseclowrvocadd,EDSECLOWRVOC,Other,Education,0
POP,EDSECPER,Demography,Education,0
EDSECUPPRGRATE,EDSECPER,Education,Education,1
edpristart,EDSECPER,Education,Education,4
edprilen,EDSECPER,Education,Education,4
edseclowrlen,EDSECPER,Education,Education,4
edsecupprlen,EDSECPER,Education,Education,4
POP,EDSECPER15TO24,Demography,Education,0
EDSECUPPRGRATE,EDSECPER15TO24,Education,Education,4
edpristart,EDSECPER15TO24,Education,Education,7
edprilen,EDSECPER15TO24,Education,Education,7
edseclowrlen,EDSECPER15TO24,Education,Education,7
edsecupprlen,EDSECPER15TO24,Education,Education,7
POP,EDSECPER20TO24,Demography,Education,0
EDSECUPPRGRATE,EDSECPER20TO24,Education,Education,6
edpristart,EDSECPER20TO24,Education,Education,9
edprilen,EDSECPER20TO24,Education,Education,9
edseclowrlen,EDSECPER20TO24,Education,Education,9
edsecupprlen,EDSECPER20TO24,Education,Education,9
EDSECLOWRTOT,EDSECTOT,Education,Education,0
EDSECUPPRTOT,EDSECTOT,Education,Education,0
edsecupprlen,EDSECUPPRENRG,Education,Education,2
POP,EDSECUPPRENRG,Demography,Education,2043
edpristart,EDSECUPPRENRG,Education,Education,6
edprilen,EDSECUPPRENRG,Education,Education,6
edseclowrlen,EDSECUPPRENRG,Education,Education,6
EDSECUPPRTOT,EDSECUPPRENRG,Education,Education,1
POP,EDSECUPPRGRADS,Demography,Education,0
edseclowrlen,EDSECUPPRGRADS,Education,Education,0
edsecupprlen,EDSECUPPRGRADS,Education,Education,0
EDSECUPPRGRATE,EDSECUPPRGRADS,Education,Education,0
POP,EDSECUPPRGRATE,Demography,Education,2
edsecupprlen,EDSECUPPRGRATE,Education,Education,2
edpristart,EDSECUPPRGRATE,Education,Education,10
edprilen,EDSECUPPRGRATE,Education,Education,10
edseclowrlen,EDSECUPPRGRATE,Education,Education,10
EDTERGRATE,EDSECUPPRGRATE,Education,Education,0
edqtqltrm,EDSECUPPRGRATE,Education,Education,0
GDS,EDSECUPPRGRATE,Sociopolitical,Education,273
GDSED,EDSECUPPRGRATE,Sociopolitical,Education,273
EDEXPERTER,EDSECUPPRGRATE,Education,Education,274
GDPPC,EDSECUPPRGRATE,Economy,Education,274
EDTERTOT,EDSECUPPRGRATE,Education,Education,274
EDPRITOT,EDSECUPPRGRATE,Education,Education,321
EDEXPERPRI,EDSECUPPRGRATE,Education,Education,325
EDSECLOWRTOT,EDSECUPPRGRATE,Education,Education,320
EDSECUPPRTOT,EDSECUPPRGRATE,Education,Education,319
EDEXPERSECLOWR,EDSECUPPRGRATE,Education,Education,324
EDEXPERSECUPPR,EDSECUPPRGRATE,Education,Education,323
edsecupprgram,EDSECUPPRGRATE,Other,Education,0
edsecupprgradgr,EDSECUPPRGRATE,Education,Education,0
edsecupprgratrgtyr,EDSECUPPRGRATE,Other,Education,0
EDSECLOWRGRATE,EDSECUPPRGRATE,Education,Education,1
EDSECUPPRTRAN,EDSECUPPRGRATE,Education,Education,1
GDPPCP,EDSECUPPRGRATE,Economy,Education,2
POP,EDSECUPPRTOT,Demography,Education,0
EDSECUPPRENRG,EDSECUPPRTOT,Education,Education,0
POP,EDSECUPPRTRAN,Demography,Education,0
edpristart,EDSECUPPRTRAN,Education,Education,1
edprilen,EDSECUPPRTRAN,Education,Education,1
edseclowrlen,EDSECUPPRTRAN,Education,Education,1
edqtqltrm,EDSECUPPRTRAN,Education,Education,0
GDS,EDSECUPPRTRAN,Sociopolitical,Education,267
GDSED,EDSECUPPRTRAN,Sociopolitical,Education,267
EDEXPERTER,EDSECUPPRTRAN,Education,Education,268
GDPPC,EDSECUPPRTRAN,Economy,Education,268
EDTERTOT,EDSECUPPRTRAN,Education,Education,268
EDPRITOT,EDSECUPPRTRAN,Education,Education,315
EDEXPERPRI,EDSECUPPRTRAN,Education,Education,319
EDSECLOWRTOT,EDSECUPPRTRAN,Education,Education,314
EDSECUPPRTOT,EDSECUPPRTRAN,Education,Education,313
EDEXPERSECLOWR,EDSECUPPRTRAN,Education,Education,318
EDEXPERSECUPPR,EDSECUPPRTRAN,Education,Education,317
edsecupprtranm,EDSECUPPRTRAN,Other,Education,0
edsecupprtrangr,EDSECUPPRTRAN,Education,Education,0
edsecupprtrantrgtyr,EDSECUPPRTRAN,Other,Education,0
GDPPCP,EDSECUPPRTRAN,Economy,Education,2
edsecupprlen,EDSECUPPRVOC,Education,Education,3
POP,EDSECUPPRVOC,Demography,Education,2044
edpristart,EDSECUPPRVOC,Education,Education,7
edprilen,EDSECUPPRVOC,Education,Education,7
edseclowrlen,EDSECUPPRVOC,Education,Education,7
edsecupprvocadd,EDSECUPPRVOC,Other,Education,0
POP,EDTERENRG,Demography,Education,888
edpristart,EDTERENRG,Education,Education,149
edprilen,EDTERENRG,Education,Education,149
edseclowrlen,EDTERENRG,Education,Education,152
edsecupprlen,EDTERENRG,Education,Education,152
EDTERTOT,EDTERENRG,Education,Education,1
POP,EDTERGRADS,Demography,Education,0
EDTERGRATE,EDTERGRADS,Education,Education,0
POP,EDTERGRATE,Demography,Education,0
edpristart,EDTERGRATE,Education,Education,146
edprilen,EDTERGRATE,Education,Education,146
edseclowrlen,EDTERGRATE,Education,Education,149
edsecupprlen,EDTERGRATE,Education,Education,149
edtergradgr,EDTERGRATE,Education,Education,1
edterpushon,EDTERGRATE,Education,Education,0
EDTERENRG,EDTERGRATE,Education,Education,205
EDSECUPPRGRATE,EDTERGRATE,Education,Education,0
edqtqltrm,EDTERGRATE,Education,Education,0
GDS,EDTERGRATE,Sociopolitical,Education,323
GDSED,EDTERGRATE,Sociopolitical,Education,323
EDEXPERTER,EDTERGRATE,Education,Education,324
GDPPC,EDTERGRATE,Economy,Education,324
EDTERTOT,EDTERGRATE,Education,Education,324
EDPRITOT,EDTERGRATE,Education,Education,371
EDEXPERPRI,EDTERGRATE,Education,Education,375
EDSECLOWRTOT,EDTERGRATE,Education,Education,370
EDSECUPPRTOT,EDTERGRATE,Education,Education,369
EDEXPERSECLOWR,EDTERGRATE,Education,Education,374
EDEXPERSECUPPR,EDTERGRATE,Education,Education,373
edtergradm,EDTERGRATE,Other,Education,0
edtergradtrgtyr,EDTERGRATE,Other,Education,0
EDTERINT,EDTERGRATE,Education,Education,0
GDPPCP,EDTERGRATE,Economy,Education,2
edterscienshradd,EDTERGRSCIEN,Other,Education,0
GDPPCP,EDTERGRSCIEN,Economy,Education,3
EDTERGRATE,EDTERGRSCIEN,Education,Education,0
POP,EDTERINT,Demography,Education,0
edpristart,EDTERINT,Education,Education,145
edprilen,EDTERINT,Education,Education,145
edseclowrlen,EDTERINT,Education,Education,148
edsecupprlen,EDTERINT,Education,Education,148
edterintgr,EDTERINT,Education,Education,1
edqtqltrm,EDTERINT,Education,Education,0
GDS,EDTERINT,Sociopolitical,Education,318
GDSED,EDTERINT,Sociopolitical,Education,318
EDEXPERTER,EDTERINT,Education,Education,319
GDPPC,EDTERINT,Economy,Education,319
EDTERTOT,EDTERINT,Education,Education,319
EDPRITOT,EDTERINT,Education,Education,366
EDEXPERPRI,EDTERINT,Education,Education,370
EDSECLOWRTOT,EDTERINT,Education,Education,365
EDSECUPPRTOT,EDTERINT,Education,Education,364
EDEXPERSECLOWR,EDTERINT,Education,Education,369
EDEXPERSECUPPR,EDTERINT,Education,Education,368
edterintm,EDTERINT,Other,Education,0
edterinttrgtyr,EDTERINT,Other,Education,0
EDSECPER20TO24,EDTERINT,Education,Education,3
GDPPCP,EDTERINT,Economy,Education,3
POP,EDTERPER,Demography,Education,0
EDTERGRATE,EDTERPER,Education,Education,1
EDSECUPPRGRATE,EDTERPER,Education,Education,40
edpristart,EDTERPER,Education,Education,3
edprilen,EDTERPER,Education,Education,3
edseclowrlen,EDTERPER,Education,Education,3
edsecupprlen,EDTERPER,Education,Education,3
EDTERENRG,EDTERTOT,Education,Education,0
POP,EDTERTOT,Demography,Education,0
POP,EDYRSAG15,Demography,Education,2
EDSECUPPRGRATE,EDYRSAG15,Education,Education,43
EDTERGRATE,EDYRSAG15,Education,Education,4
edpristart,EDYRSAG15,Education,Education,46
edprilen,EDYRSAG15,Education,Education,46
edseclowrlen,EDYRSAG15,Education,Education,46
edsecupprlen,EDYRSAG15,Education,Education,46
EDSECUPPRGRATE,EDYRSAG15TO24,Education,Education,44
EDTERGRATE,EDYRSAG15TO24,Education,Education,5
edpristart,EDYRSAG15TO24,Education,Education,47
edprilen,EDYRSAG15TO24,Education,Education,47
edseclowrlen,EDYRSAG15TO24,Education,Education,47
edsecupprlen,EDYRSAG15TO24,Education,Education,47
POP,EDYRSAG25,Demography,Education,2
ifsexomodelid,EDYRSAG25,Other,Education,0
EDSECUPPRGRATE,EDYRSAG25,Education,Education,45
EDTERGRATE,EDYRSAG25,Education,Education,6
edpristart,EDYRSAG25,Education,Education,48
edprilen,EDYRSAG25,Education,Education,48
edseclowrlen,EDYRSAG25,Education,Education,48
edsecupprlen,EDYRSAG25,Education,Education,48
ICTBROAD,ENDEM,Other,Energy,1
elendemict,ENDEM,Infrastructure,Energy,1
endemm,ENDEM,Energy,Energy,-5
enrgdpgr,ENDEM,Energy,Energy,-5
GDPP,ENDEM,Economy,Energy,22
POPR,ENDEM,Demography,Energy,92
enconv,ENDEM,Energy,Energy,16
WEP,ENDEM,Energy,Energy,-2
ENPRI,ENDEM,Energy,Energy,51
elasde,ENDEM,Energy,Energy,-3
GDPPC,ENDEM,Economy,Energy,93
igdpr,ENDEM,Economy,Energy,93
WEPBYEAR,ENDEM,Energy,Energy,42
ENP,ENDEM,Energy,Energy,-282
carfuel1,ENDEM,Environment,Energy,-282
carfuel2,ENDEM,Environment,Energy,-282
carfuel3,ENDEM,Environment,Energy,-282
carbtax,ENDEM,Environment,Energy,-282
ENX,ENDEM,Energy,Energy,0
ENM,ENDEM,Energy,Energy,0
ENST,ENDEM,Energy,Energy,0
ENPRR,ENDEM,Energy,Energy,6
ENDEM,ENDEMSH,Energy,Energy,0
enconv,ENDEMSH,Energy,Energy,1
enelecshrendemm,ENELECSHRENDEM,Infrastructure,Infrastructure,0
extmaposnenelecshr,ENELECSHRENDEM,Other,Infrastructure,1
GDPPCP,ENELECSHRENDEM,Economy,Infrastructure,4
INFRAELECACC,ENELECSHRENDEM,Other,Infrastructure,4
ENP,ENELECSHRENDEM,Energy,Infrastructure,231
ENDEMSH,ENELECSHRENDEM,Energy,Infrastructure,231
ENX,ENM,Energy,Energy,4
enml,ENM,Energy,Energy,0
ENDEM,ENM,Energy,Energy,17
ENST,ENM,Energy,Energy,12
ENSHO,ENM,Energy,Energy,12
ENP,ENM,Energy,Energy,24
endemm,ENM,Energy,Energy,41
enrgdpgr,ENM,Energy,Energy,41
GDPP,ENM,Economy,Energy,68
POPR,ENM,Demography,Energy,138
enconv,ENM,Energy,Energy,62
WEP,ENM,Energy,Energy,44
ENPRI,ENM,Energy,Energy,97
elasde,ENM,Energy,Energy,43
GDPPC,ENM,Economy,Energy,139
igdpr,ENM,Economy,Energy,139
WEPBYEAR,ENM,Energy,Energy,88
POP,ENM,Demography,Energy,67
trademax,ENM,Economy,Energy,120
MS,ENM,Economy,Energy,0
trademax,ENP,Economy,Energy,170
enpcoalmax,ENP,Energy,Energy,1
QE,ENP,Energy,Energy,0
enpm,ENP,Energy,Energy,0
